== row: pipelined 1:10 (M0 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 3184014 ops/s, p999 767 µs
  rep 0 m3-baseline: 3136187 ops/s, p999 799 µs
  rep 1 m3-baseline: 3216901 ops/s, p999 751 µs
  rep 1 m4: 3220054 ops/s, p999 751 µs
  rep 2 m4: 3198662 ops/s, p999 783 µs
  rep 2 m3-baseline: 3218472 ops/s, p999 719 µs
  rep 3 m3-baseline: 3194736 ops/s, p999 799 µs
  rep 3 m4: 3171812 ops/s, p999 719 µs
  rep 4 m4: 3198865 ops/s, p999 767 µs
  rep 4 m3-baseline: 3188583 ops/s, p999 783 µs
  rep 5 m3-baseline: 3091312 ops/s, p999 831 µs
  rep 5 m4: 3183293 ops/s, p999 783 µs
  rep 6 m4: 3106946 ops/s, p999 783 µs
  rep 6 m3-baseline: 3151228 ops/s, p999 847 µs
  rep 7 m3-baseline: 3134107 ops/s, p999 863 µs
  rep 7 m4: 3186703 ops/s, p999 751 µs
  rep 8 m4: 3140196 ops/s, p999 703 µs
  rep 8 m3-baseline: 3111702 ops/s, p999 767 µs
  rep 9 m3-baseline: 3121096 ops/s, p999 767 µs
  rep 9 m4: 3165033 ops/s, p999 767 µs
  rep 10 m4: 3173006 ops/s, p999 799 µs
  rep 10 m3-baseline: 3109554 ops/s, p999 783 µs
  rep 11 m3-baseline: 3192078 ops/s, p999 703 µs
  rep 11 m4: 3219743 ops/s, p999 671 µs
  rep 12 m4: 3036754 ops/s, p999 879 µs
  rep 12 m3-baseline: 3163279 ops/s, p999 751 µs
  rep 13 m3-baseline: 3174683 ops/s, p999 751 µs
  rep 13 m4: 3147178 ops/s, p999 783 µs
  rep 14 m4: 3222374 ops/s, p999 655 µs
  rep 14 m3-baseline: 3163097 ops/s, p999 751 µs
  rep 15 m3-baseline: 3229611 ops/s, p999 735 µs
  rep 15 m4: 3047523 ops/s, p999 783 µs
  rep 16 m4: 3196164 ops/s, p999 799 µs
  rep 16 m3-baseline: 3220751 ops/s, p999 687 µs
  rep 17 m3-baseline: 3177224 ops/s, p999 719 µs
  rep 17 m4: 3226595 ops/s, p999 719 µs
  rep 18 m4: 3177470 ops/s, p999 767 µs
  rep 18 m3-baseline: 3182527 ops/s, p999 735 µs
  rep 19 m3-baseline: 3198392 ops/s, p999 799 µs
  rep 19 m4: 3161371 ops/s, p999 815 µs
  rep 20 m4: 3173654 ops/s, p999 831 µs
  rep 20 m3-baseline: 3146319 ops/s, p999 815 µs
  rep 21 m3-baseline: 3220579 ops/s, p999 767 µs
  rep 21 m4: 3155486 ops/s, p999 783 µs
  rep 22 m4: 3147422 ops/s, p999 847 µs
  rep 22 m3-baseline: 3147474 ops/s, p999 751 µs
  rep 23 m3-baseline: 3174433 ops/s, p999 799 µs
  rep 23 m4: 3159883 ops/s, p999 767 µs
  rep 24 m4: 3125118 ops/s, p999 767 µs
  rep 24 m3-baseline: 2982591 ops/s, p999 815 µs
  rep 25 m3-baseline: 3211428 ops/s, p999 751 µs
  rep 25 m4: 3175792 ops/s, p999 735 µs
  rep 26 m4: 3191399 ops/s, p999 719 µs
  rep 26 m3-baseline: 3116416 ops/s, p999 751 µs
  rep 27 m3-baseline: 3093204 ops/s, p999 783 µs
  rep 27 m4: 3140395 ops/s, p999 735 µs
  rep 28 m4: 3193502 ops/s, p999 767 µs
  rep 28 m3-baseline: 3114613 ops/s, p999 863 µs
  rep 29 m3-baseline: 3116121 ops/s, p999 911 µs
  rep 29 m4: 2968688 ops/s, p999 895 µs
  rep 30 m4: 3210016 ops/s, p999 783 µs
  rep 30 m3-baseline: 3154003 ops/s, p999 751 µs
  rep 31 m3-baseline: 3164463 ops/s, p999 751 µs
  rep 31 m4: 3114110 ops/s, p999 815 µs

== row: unpipelined 512-conn (M0 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 804160 ops/s, p999 1759 µs
  rep 0 m3-baseline: 808257 ops/s, p999 1887 µs
  rep 1 m3-baseline: 804625 ops/s, p999 1791 µs
  rep 1 m4: 806574 ops/s, p999 1727 µs
  rep 2 m4: 806971 ops/s, p999 1855 µs
  rep 2 m3-baseline: 806669 ops/s, p999 1759 µs
  rep 3 m3-baseline: 803995 ops/s, p999 1631 µs
  rep 3 m4: 804707 ops/s, p999 1919 µs
  rep 4 m4: 807101 ops/s, p999 1951 µs
  rep 4 m3-baseline: 804829 ops/s, p999 1791 µs
  rep 5 m3-baseline: 804993 ops/s, p999 1759 µs
  rep 5 m4: 804550 ops/s, p999 1887 µs
  rep 6 m4: 805745 ops/s, p999 1695 µs
  rep 6 m3-baseline: 804143 ops/s, p999 1887 µs
  rep 7 m3-baseline: 804681 ops/s, p999 1951 µs
  rep 7 m4: 804381 ops/s, p999 1759 µs
  rep 8 m4: 803262 ops/s, p999 1791 µs
  rep 8 m3-baseline: 803096 ops/s, p999 1951 µs
  rep 9 m3-baseline: 805982 ops/s, p999 1791 µs
  rep 9 m4: 806416 ops/s, p999 1759 µs
  rep 10 m4: 805267 ops/s, p999 1823 µs
  rep 10 m3-baseline: 802461 ops/s, p999 1791 µs
  rep 11 m3-baseline: 802669 ops/s, p999 1919 µs
  rep 11 m4: 806072 ops/s, p999 1695 µs
  rep 12 m4: 805254 ops/s, p999 1855 µs
  rep 12 m3-baseline: 805274 ops/s, p999 1919 µs
  rep 13 m3-baseline: 803979 ops/s, p999 1887 µs
  rep 13 m4: 801873 ops/s, p999 1791 µs
  rep 14 m4: 806367 ops/s, p999 1727 µs
  rep 14 m3-baseline: 805296 ops/s, p999 1695 µs
  rep 15 m3-baseline: 804383 ops/s, p999 1855 µs
  rep 15 m4: 804024 ops/s, p999 1919 µs
  rep 16 m4: 801505 ops/s, p999 1823 µs
  rep 16 m3-baseline: 803452 ops/s, p999 1855 µs
  rep 17 m3-baseline: 804025 ops/s, p999 1823 µs
  rep 17 m4: 801712 ops/s, p999 1951 µs
  rep 18 m4: 803588 ops/s, p999 1887 µs
  rep 18 m3-baseline: 802736 ops/s, p999 1919 µs
  rep 19 m3-baseline: 803161 ops/s, p999 1823 µs
  rep 19 m4: 805066 ops/s, p999 1663 µs
  rep 20 m4: 803617 ops/s, p999 1919 µs
  rep 20 m3-baseline: 803193 ops/s, p999 1791 µs
  rep 21 m3-baseline: 803156 ops/s, p999 1855 µs
  rep 21 m4: 805084 ops/s, p999 1823 µs
  rep 22 m4: 805266 ops/s, p999 1663 µs
