== row: pipelined 1:10 (M0 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 3214549 ops/s, p999 783 µs
  rep 0 m3-baseline: 3115058 ops/s, p999 879 µs
  rep 1 m3-baseline: 3160366 ops/s, p999 767 µs
  rep 1 m4: 3127752 ops/s, p999 799 µs
  rep 2 m4: 3117433 ops/s, p999 719 µs
  rep 2 m3-baseline: 3132776 ops/s, p999 831 µs
  rep 3 m3-baseline: 3060623 ops/s, p999 831 µs
  rep 3 m4: 2942388 ops/s, p999 911 µs
  rep 4 m4: 3102642 ops/s, p999 863 µs
  rep 4 m3-baseline: 3107593 ops/s, p999 783 µs
  rep 5 m3-baseline: 3076060 ops/s, p999 783 µs
  rep 5 m4: 3128912 ops/s, p999 783 µs
  rep 6 m4: 3182272 ops/s, p999 767 µs
  rep 6 m3-baseline: 3110140 ops/s, p999 847 µs
  rep 7 m3-baseline: 3195683 ops/s, p999 767 µs
  rep 7 m4: 3154227 ops/s, p999 815 µs
  rep 8 m4: 3163979 ops/s, p999 799 µs
  rep 8 m3-baseline: 3159188 ops/s, p999 847 µs
  rep 9 m3-baseline: 3117426 ops/s, p999 895 µs
  rep 9 m4: 3179538 ops/s, p999 783 µs
  rep 10 m4: 3159203 ops/s, p999 783 µs
  rep 10 m3-baseline: 3146879 ops/s, p999 815 µs
  rep 11 m3-baseline: 3197796 ops/s, p999 783 µs
  rep 11 m4: 3136987 ops/s, p999 783 µs
  rep 12 m4: 3204329 ops/s, p999 767 µs
  rep 12 m3-baseline: 3144752 ops/s, p999 831 µs
  rep 13 m3-baseline: 3098867 ops/s, p999 879 µs
  rep 13 m4: 3165095 ops/s, p999 767 µs
  rep 14 m4: 3208479 ops/s, p999 735 µs
  rep 14 m3-baseline: 3183655 ops/s, p999 799 µs
  rep 15 m3-baseline: 3162371 ops/s, p999 783 µs
  rep 15 m4: 3148789 ops/s, p999 831 µs
  rep 16 m4: 3198962 ops/s, p999 767 µs
  rep 16 m3-baseline: 3199469 ops/s, p999 719 µs
  rep 17 m3-baseline: 3130125 ops/s, p999 783 µs
  rep 17 m4: 3189318 ops/s, p999 767 µs
  rep 18 m4: 3191869 ops/s, p999 783 µs
  rep 18 m3-baseline: 3008103 ops/s, p999 831 µs
  rep 19 m3-baseline: 3099458 ops/s, p999 815 µs
  rep 19 m4: 3208477 ops/s, p999 799 µs
  rep 20 m4: 2995763 ops/s, p999 959 µs
  rep 20 m3-baseline: 3123951 ops/s, p999 799 µs
  rep 21 m3-baseline: 3180506 ops/s, p999 719 µs
  rep 21 m4: 3170000 ops/s, p999 767 µs
  rep 22 m4: 3143071 ops/s, p999 719 µs
  rep 22 m3-baseline: 3195745 ops/s, p999 815 µs
  rep 23 m3-baseline: 3175614 ops/s, p999 895 µs
  rep 23 m4: 3138696 ops/s, p999 783 µs
  rep 24 m4: 3147281 ops/s, p999 799 µs
  rep 24 m3-baseline: 3196178 ops/s, p999 767 µs
  rep 25 m3-baseline: 3181711 ops/s, p999 879 µs
  rep 25 m4: 3096736 ops/s, p999 783 µs
  rep 26 m4: 3120713 ops/s, p999 831 µs
  rep 26 m3-baseline: 3188555 ops/s, p999 799 µs
  rep 27 m3-baseline: 3134453 ops/s, p999 767 µs
  rep 27 m4: 3076614 ops/s, p999 815 µs
  rep 28 m4: 3064815 ops/s, p999 831 µs
  rep 28 m3-baseline: 3211168 ops/s, p999 799 µs
  rep 29 m3-baseline: 3214833 ops/s, p999 767 µs
  rep 29 m4: 3157499 ops/s, p999 815 µs
  rep 30 m4: 3151991 ops/s, p999 783 µs
  rep 30 m3-baseline: 3190476 ops/s, p999 735 µs
  rep 31 m3-baseline: 3133501 ops/s, p999 815 µs
  rep 31 m4: 3207367 ops/s, p999 767 µs

== row: unpipelined 512-conn (M0 gate mix) (crossover A/B × 32) ==
  rep 0 m4: 804983 ops/s, p999 1663 µs
  rep 0 m3-baseline: 804107 ops/s, p999 1855 µs
  rep 1 m3-baseline: 805183 ops/s, p999 1887 µs
  rep 1 m4: 806277 ops/s, p999 1823 µs
  rep 2 m4: 804189 ops/s, p999 1919 µs
  rep 2 m3-baseline: 805120 ops/s, p999 1695 µs
  rep 3 m3-baseline: 802753 ops/s, p999 1791 µs
  rep 3 m4: 804376 ops/s, p999 1855 µs
  rep 4 m4: 804731 ops/s, p999 1951 µs
  rep 4 m3-baseline: 806651 ops/s, p999 1791 µs
  rep 5 m3-baseline: 803284 ops/s, p999 1887 µs
  rep 5 m4: 805927 ops/s, p999 1823 µs
  rep 6 m4: 806861 ops/s, p999 1983 µs
  rep 6 m3-baseline: 804528 ops/s, p999 1759 µs
  rep 7 m3-baseline: 806448 ops/s, p999 1823 µs
  rep 7 m4: 807500 ops/s, p999 1823 µs
  rep 8 m4: 804493 ops/s, p999 1695 µs
  rep 8 m3-baseline: 805721 ops/s, p999 1695 µs
  rep 9 m3-baseline: 805176 ops/s, p999 1791 µs
  rep 9 m4: 805238 ops/s, p999 1887 µs
  rep 10 m4: 804701 ops/s, p999 1663 µs
  rep 10 m3-baseline: 804959 ops/s, p999 1695 µs
  rep 11 m3-baseline: 805229 ops/s, p999 1759 µs
  rep 11 m4: 806872 ops/s, p999 1663 µs
  rep 12 m4: 806184 ops/s, p999 1855 µs
  rep 12 m3-baseline: 804018 ops/s, p999 1951 µs
  rep 13 m3-baseline: 807481 ops/s, p999 1759 µs
  rep 13 m4: 805452 ops/s, p999 1727 µs
  rep 14 m4: 802980 ops/s, p999 1855 µs
  rep 14 m3-baseline: 805748 ops/s, p999 1759 µs
  rep 15 m3-baseline: 804202 ops/s, p999 1855 µs
  rep 15 m4: 803679 ops/s, p999 1887 µs
  rep 16 m4: 804244 ops/s, p999 1887 µs
  rep 16 m3-baseline: 804673 ops/s, p999 1887 µs
  rep 17 m3-baseline: 804418 ops/s, p999 1855 µs
  rep 17 m4: 804763 ops/s, p999 1695 µs
  rep 18 m4: 805604 ops/s, p999 1727 µs
  rep 18 m3-baseline: 806330 ops/s, p999 1887 µs
  rep 19 m3-baseline: 806003 ops/s, p999 1759 µs
  rep 19 m4: 803175 ops/s, p999 1855 µs
  rep 20 m4: 803732 ops/s, p999 1855 µs
  rep 20 m3-baseline: 803478 ops/s, p999 1791 µs
  rep 21 m3-baseline: 805133 ops/s, p999 1791 µs
  rep 21 m4: 804656 ops/s, p999 1631 µs
  rep 22 m4: 805086 ops/s, p999 1919 µs
  rep 22 m3-baseline: 806364 ops/s, p999 1759 µs
  rep 23 m3-baseline: 804793 ops/s, p999 1791 µs
  rep 23 m4: 805607 ops/s, p999 1759 µs
  rep 24 m4: 806178 ops/s, p999 1791 µs
  rep 24 m3-baseline: 804529 ops/s, p999 1823 µs
  rep 25 m3-baseline: 801599 ops/s, p999 1791 µs
  rep 25 m4: 805987 ops/s, p999 1791 µs
  rep 26 m4: 806206 ops/s, p999 1695 µs
